source_row,submission_id,submission_uuid,education,edu_masters_raw,religion_raw,form_version,qc_unknown_codes,qc_required_missing,qc_skip_conflicts,qc_applicable_missing,ward_raw,local_government_raw,qc_age,qc_eligibility,qc_ward,qc_location_numeric,qc_gps,qc_education_routing,qc_duplicate_id,qc_duplicate_uuid,ms_screener,ms_gender_other,ms_edu_school,ms_edu_plus2,ms_edu_bachelors,ms_edu_masters,ms_religion,ms_family_returned,ms_abroad_purpose,ms_nepal_plan,ms_q2_4,ms_q2_4_1,ms_q2_4_1_other,ms_q2_5,ms_q2_5_1,ms_q2_5_1_other,ms_q2_6,ms_q2_6_1,ms_q2_6_1_other,ms_q2_7_1,qc_review
624,856649417,4f744aef-7f8a-467b-84e6-e9eb396056c5,Bachelors 1st year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Biratnagar Mahanagar palika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
625,856664181,ce25a1b9-c892-4b4d-b8cf-d476ce3c3588,Masters 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Butawal up na pa,No,No,No,No,No,Yes,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Yes
626,856664193,58db631e-54fc-4af0-b1b5-b7e12d280c44,Masters 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Butawal up na pa,No,No,No,No,No,Yes,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Yes
627,856664201,2b365b2d-4585-4bf6-9387-2b2d38121500,Bachelors 3rd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Butawal up na pa,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
628,856664217,aa8faccd-294a-4e14-a20a-447bedc5496d,Bachelors 2nd year,,2,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Butawal up na pa,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
629,856664231,8f2ee45a-931c-4447-95c1-77774308d595,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Butawal up na pa,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
630,857541864,2fd05f65-0d78-44d2-ba47-42b526c2affc,Bachelors 3rd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddharthanagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
631,857541876,a427dc96-618f-412d-886a-8d247dc1fde9,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddhartha nagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
632,857541885,cbe4ef82-0b67-4145-81fa-8ee65d466ed2,Bachelors 4th year,,2,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddharthanagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
633,857541896,fecaeed2-f020-414f-8145-0d0e5d9d2d02,Bachelors 4th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddhartthanagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
634,857546625,d188a4b8-95c1-4d66-91ee-a9f1f71a6524,Bachelors 4th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,1,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
635,857546632,832d0bad-0745-4dbb-a1c0-2656b867dd1c,Masters 1st year,2,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Answered,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
636,857546641,1fe85a76-ba86-443d-9cad-d590f90e158d,Bachelors 4th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,No
637,857546658,98bd2299-0358-4129-ab13-7de6c03e8193,Masters 1st year,2,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Answered,Answered,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
638,857546668,f636da74-8281-473b-b28a-8e122e73dba0,Masters 1st year,2,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,5,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
639,857548100,6bcdff22-ef92-4432-8192-4c93fe1429e3,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,05,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
640,857548112,6211286f-5419-4fac-8244-5743aaaf9a97,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,05,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
641,857548127,6ee387d1-e12c-4915-a3f3-f9b1a9001c98,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,05,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,No
642,857548142,076c6579-9090-4d6e-bec1-b5b59b1340ca,Bachelors 4th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,05,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
643,857548151,d687f82e-0b35-4970-95be-ecf887f27a87,Bachelors 4th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,05,Dhangadi,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,No
644,857727955,3b2a7eef-7816-4769-8cc8-d0ab3cba7c1f,Bachelors 5th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,9,Biratnagar Mahanagar palika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
645,857727982,511b1bcb-012b-49b6-ab70-c8b75de4618d,Bachelors 5th year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,9,Biratnagar Mahanagar palika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
646,857728006,0736edef-4f0b-4073-8c74-989fde6f2121,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,9,Biratnagar Mahanagar palika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
647,857728028,fa90b3c2-bed1-4ec5-ba06-6d5e5415886c,Bachelors 1st year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,9,Biratnagar Mahanagar palika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
648,857728042,68a8d64a-be4f-4c99-938a-0c1087bff74b,Bachelors 1st year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,9,Biratnagar Mahanagar palika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
649,857740801,c29988ad-2eb5-49ae-888c-9be541efd320,Bachelors 2nd year,,2,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddharth Nagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
650,857740816,2a50e52c-387e-467a-8151-8d589671b195,Bachelors 3rd year,,2,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddharth Nagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,No
651,857740835,75e4373b-363e-4df1-bc6e-f506d6cbb433,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddharth Nagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
652,857740858,d81b1ae4-0ca3-497e-924d-d00d6d58e5b1,Bachelors 2nd year,,1,vbyDnUDjDtHU4iAauqfqE5,0,0,0,0,13,Siddharth Nagar nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,No
