('list_name', 'name', 'label::English (en)', 'label::Nepali (ne)', 'order')
('vote', '2', 'No', 'होइन', None)
('vote', '3', 'हालेको तर कुन तहमा हालेको थाहा छैन', 'हालेको तर कुन तहमा हालेको थाहा छैन', None)
('vote', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('nonvote_reason', '1', 'Did not register', 'दर्ता नगरेको ', None)
('nonvote_reason', '3', 'Away from registered voting location', 'दर्ता भएको मतदान केन्द्रबाट टाढा रहेको', 1)
('nonvote_reason', '4', 'Health/family issue', 'स्वास्थ्य/पारिवारिक समस्या', 2)
('nonvote_reason', '5', 'Not interested in voting process', 'मतदान प्रक्रियामा रुचि नभएको', 3)
('nonvote_reason', '6', 'Did not trust political parties/candidates', 'राजनीतिक दल/उम्मेदवारमाथि विश्वास नभएको', 4)
('nonvote_reason', '7', 'Intentionally boycotted the election', 'जानाजानी निर्वाचन बहिष्कार गरेको', 5)
('nonvote_reason', '8', 'My vote would make no difference', 'मेरो मतले कुनै फरक पार्दैन भन्ने लाग्यो', 6)
('nonvote_reason', '-99', 'Prefer not to say', 'भन्न चाहन्न', 7)
('nonvote_reason', 'others_please_specify', 'Others Please Specify', 'अरु भए खुलाइदिनु होला ', 8)
('future_vote', '1', 'Very Likely', 'धेरै सम्भावना', None)
('future_vote', '2', 'Somewhat Likely', 'केही सम्भावना', None)
('future_vote', '3', 'Somewhat unlikely', 'केही कम सम्भावना', None)
('future_vote', '4', 'Very unlikely', 'धेरै कम सम्भावना', None)
('future_vote', '5', 'Don’t know', 'अहिले थाहा छैन', None)
('future_vote', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('unlikely_reason', '1', 'Did not register', 'दर्ता नगरेको', None)
('unlikely_reason', '2', 'Away from registered voting location', 'दर्ता भएको मतदान केन्द्रबाट टाढा रहेको', None)
('unlikely_reason', '3', 'Not interested in voting process', 'मतदान प्रक्रियामा रुचि नभएको', None)
('unlikely_reason', '4', 'Do not trust political parties/candidates', 'राजनीतिक दल/उम्मेदवारमाथि विश्वास छैन', None)
('unlikely_reason', '5', 'Intentionally boycott the election', 'जानाजानी निर्वाचन बहिष्कार गर्ने', None)
('unlikely_reason', '6', 'My vote would make no difference', 'मेरो मतले कुनै फरक पार्दैन भन्ने लागिरहेको छ', None)
('unlikely_reason', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('civic_yes_no', '1', 'Yes', 'थियो', None)
('civic_yes_no', '2', 'No', 'थिएन', None)
('confidence', '1', 'Very confident', 'धेरै विश्वस्त', None)
('confidence', '2', 'Confident', 'विश्वस्त', None)
('confidence', '3', 'Neutral', 'ठिक ठिकै', None)
('confidence', '4', 'Not confident', 'विश्वस्त छैन', None)
('confidence', '5', 'Not at all confident', 'कति पनि  विश्वस्त छैन', None)
('vx7xv18', '1', 'Strongly agree', 'पूर्ण रूपमा सहमत', None)
('vx7xv18', '2', 'Agree', 'सहमत', None)
('vx7xv18', '3', 'Neutral', 'ठिक ठिकै', None)
('vx7xv18', '4', 'Disagree', 'असहमत', None)
('vx7xv18', '5', 'Strongly disagree', 'पूर्ण रूपमा असहमत', None)
('vx7xv18', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('fx1wd71', '1', 'Strongly agree', 'पूर्ण रूपमा सहमत', None)
('fx1wd71', '2', 'Agree', 'सहमत', None)
('fx1wd71', '3', 'Neutral', 'ठिक ठिकै', None)
('fx1wd71', '4', 'Disagree', 'असहमत', None)
('fx1wd71', '5', 'Strongly disagree', 'पूर्ण रूपमा असहमत', None)
('fx1wd71', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('stability', '1', 'Very stable', 'धेरै स्थिर', None)
('stability', '2', 'Stable', 'स्थिर', None)
('stability', '3', 'Neutral', 'तटस्थ', None)
('stability', '4', 'Unstable', 'अस्थिर', None)
